Date,Rented Bike Count,Hour,Temperature(∞C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(∞C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Functioning Day,Seasons_Autumn,Seasons_Spring,Seasons_Summer,Seasons_Winter,Holiday
1486857600000000000,261,2,-2.9,86.0,1.5,1256,-4.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1486857600000000000,166,3,-3.5,81.0,2.2,1221,-6.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1486857600000000000,88,4,-3.8,79.0,2.0,1167,-6.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1486857600000000000,78,5,-4.0,79.0,1.5,1202,-7.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1486857600000000000,69,6,-4.3,82.0,2.1,1178,-6.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1486857600000000000,145,7,-4.4,81.0,2.5,1276,-7.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1486857600000000000,218,8,-4.2,79.0,2.1,1436,-7.3,0.01,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1486857600000000000,327,9,-2.9,68.0,1.6,1487,-7.9,0.3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1486857600000000000,333,10,-0.4,57.0,1.6,1309,-7.8,0.8,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1486857600000000000,387,11,1.9,49.0,1.8,1406,-7.7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1486857600000000000,477,12,4.3,41.0,1.3,1666,-7.8,1.09,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1486857600000000000,600,13,6.0,36.0,1.8,1780,-7.9,1.12,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1486857600000000000,604,14,7.3,35.0,1.3,1955,-7.1,0.99,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1486857600000000000,585,15,7.6,41.0,2.3,1953,-4.8,0.74,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1486857600000000000,611,16,6.4,48.0,2.6,1945,-3.8,0.22,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1486857600000000000,569,17,6.0,51.0,2.5,1891,-3.3,0.06,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1486857600000000000,487,18,5.5,53.0,1.5,1697,-3.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1486857600000000000,384,19,5.0,52.0,2.3,1666,-4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1486857600000000000,358,20,4.6,51.0,1.2,1585,-4.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1486857600000000000,376,21,4.1,55.0,1.2,1448,-4.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1486857600000000000,353,22,3.5,54.0,1.5,1446,-4.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1486857600000000000,365,23,4.0,56.0,1.0,1352,-4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1489276800000000000,341,0,4.0,58.0,1.4,1296,-3.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1489276800000000000,226,1,3.9,69.0,1.7,485,-1.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1489276800000000000,227,2,3.3,79.0,1.4,830,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1489276800000000000,116,3,3.4,71.0,1.6,1011,-1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1489276800000000000,75,4,3.5,73.0,1.0,1060,-0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1489276800000000000,31,5,3.9,75.0,1.9,914,-0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1489276800000000000,12,6,3.4,86.0,2.5,278,1.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1489276800000000000,21,7,3.1,91.0,1.2,129,1.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1489276800000000000,84,8,3.2,92.0,1.8,244,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1489276800000000000,151,9,3.5,91.0,1.8,231,2.1,0.02,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1489276800000000000,199,10,4.4,89.0,2.2,257,2.7,0.24,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1489276800000000000,272,11,5.1,87.0,1.4,321,3.1,0.25,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1489276800000000000,332,12,5.8,85.0,1.7,349,3.4,0.43,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1489276800000000000,493,13,6.8,81.0,1.9,390,3.7,0.6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1489276800000000000,560,14,7.6,76.0,1.2,422,3.6,0.69,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1489276800000000000,614,15,8.0,73.0,1.6,433,3.4,0.53,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1489276800000000000,594,16,7.6,77.0,1.6,399,3.8,0.2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1489276800000000000,542,17,6.7,82.0,1.5,358,3.8,0.05,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1489276800000000000,442,18,6.0,84.0,1.9,327,3.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1489276800000000000,421,19,5.7,85.0,1.7,309,3.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1489276800000000000,396,20,5.2,87.0,1.4,253,3.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1489276800000000000,384,21,4.7,87.0,1.2,247,2.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1489276800000000000,349,22,4.3,89.0,1.8,201,2.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1489276800000000000,302,23,3.9,90.0,1.3,194,2.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1491955200000000000,284,0,4.2,88.0,0.6,216,2.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1491955200000000000,185,1,4.3,87.0,0.5,221,2.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1491955200000000000,111,2,4.4,87.0,1.8,207,2.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1491955200000000000,64,3,3.6,85.0,2.3,206,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1491955200000000000,40,4,2.8,89.0,1.5,130,1.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1491955200000000000,81,5,2.0,83.0,2.7,253,-0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1491955200000000000,199,6,1.2,76.0,3.7,371,-2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1491955200000000000,496,7,0.2,68.0,3.4,702,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1491955200000000000,925,8,-0.8,69.0,3.5,954,-5.7,0.01,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1491955200000000000,507,9,-1.5,47.0,4.2,1888,-11.3,0.22,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1491955200000000000,310,10,-1.1,40.0,4.3999999999999995,2000,-13.0,0.64,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1491955200000000000,378,11,-0.5,41.0,4.1,1799,-12.1,0.94,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1491955200000000000,392,12,-0.3,38.0,4.3999999999999995,1823,-12.9,1.11,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1491955200000000000,390,13,0.0,30.0,4.3999999999999995,1938,-15.5,1.17,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1491955200000000000,337,14,0.1,27.0,4.3999999999999995,2000,-16.7,1.09,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1491955200000000000,340,15,-0.1,25.0,4.3999999999999995,2000,-17.8,0.88,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1491955200000000000,374,16,-0.2,23.0,4.3999999999999995,2000,-18.8,0.55,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1491955200000000000,513,17,-1.3,26.0,4.3999999999999995,2000,-18.3,0.18,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1491955200000000000,797,18,-2.1,29.0,3.9,2000,-17.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1491955200000000000,565,19,-2.9,32.0,3.2,2000,-17.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1491955200000000000,397,20,-3.6,38.0,3.0,2000,-15.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1491955200000000000,396,21,-4.6,43.0,4.3999999999999995,2000,-15.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1491955200000000000,352,22,-5.3,45.0,2.5,2000,-15.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1491955200000000000,247,23,-5.8,44.0,2.4,2000,-16.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1494547200000000000,215,0,-6.1,42.0,2.6,2000,-16.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1494547200000000000,197,1,-6.5,41.0,2.8,2000,-17.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1494547200000000000,123,2,-6.8,41.0,2.5,2000,-17.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1494547200000000000,61,3,-6.9,39.0,2.0,2000,-18.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1494547200000000000,41,4,-7.2,34.0,3.0,2000,-20.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1494547200000000000,81,5,-7.4,33.0,2.6,2000,-20.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1494547200000000000,171,6,-7.4,34.0,3.2,2000,-20.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1494547200000000000,380,7,-7.5,33.0,2.2,2000,-21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1494547200000000000,802,8,-8.1,36.0,1.6,2000,-20.5,0.01,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1494547200000000000,461,9,-7.6,31.0,1.3,1974,-21.8,0.21,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1494547200000000000,268,10,-5.5,26.0,2.8,1967,-22.0,0.64,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1494547200000000000,333,11,-3.9,25.0,0.0,1959,-21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1494547200000000000,320,12,-2.3,25.0,0.0,1962,-19.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1494547200000000000,324,13,-1.6,27.0,0.0,1955,-18.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1494547200000000000,333,14,-1.1,28.0,0.0,2000,-17.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1494547200000000000,352,15,-0.7,28.0,0.0,2000,-16.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1494547200000000000,434,16,-0.5,30.0,0.0,2000,-16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1494547200000000000,526,17,-1.6,35.0,0.0,2000,-15.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1494547200000000000,779,18,-2.6,40.0,0.0,2000,-14.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1494547200000000000,593,19,-3.2,45.0,0.0,2000,-13.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1494547200000000000,417,20,-3.5,46.0,0.0,2000,-13.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1494547200000000000,414,21,-3.7,47.0,0.0,2000,-13.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1494547200000000000,392,22,-2.8,49.0,0.0,2000,-12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1494547200000000000,243,23,-2.5,59.0,0.0,1210,-9.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1497225600000000000,144,0,-2.8,77.0,0.0,331,-6.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1497225600000000000,143,1,-3.0,79.0,0.0,293,-6.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1497225600000000000,116,2,-3.0,79.0,0.0,1862,-6.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1497225600000000000,77,3,-3.2,78.0,0.0,1808,-6.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1497225600000000000,57,4,-3.4,75.0,0.0,1982,-7.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1497225600000000000,86,5,-3.6,76.0,0.0,1934,-7.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1497225600000000000,141,6,-3.7,76.0,0.0,1864,-7.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1497225600000000000,378,7,-4.2,77.0,0.0,1741,-7.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1497225600000000000,792,8,-4.2,78.0,0.0,1518,-7.4,0.01,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1497225600000000000,439,9,-3.3,70.0,0.0,1324,-7.9,0.25,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1497225600000000000,306,10,-0.9,64.0,0.0,1224,-6.8,0.63,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1497225600000000000,380,11,1.6,57.0,1.2,1261,-6.0,0.93,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1497225600000000000,404,12,2.4,52.0,0.9,1224,-6.4,1.08,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1497225600000000000,441,13,4.2,47.0,1.1,1469,-6.1,1.1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1497225600000000000,415,14,5.5,34.0,1.0,1966,-9.1,0.96,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1497225600000000000,411,15,5.5,31.0,3.1,1968,-10.3,0.72,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1497225600000000000,494,16,5.3,37.0,2.9,2000,-8.2,0.36,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1497225600000000000,238,17,4.1,60.0,2.5,1565,-2.9,0.1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1497225600000000000,203,18,1.7,90.0,1.0,66,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1497225600000000000,204,19,1.2,92.0,0.7,180,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1497225600000000000,189,20,1.2,94.0,0.6,228,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1497225600000000000,164,21,1.1,92.0,0.5,235,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1497225600000000000,221,22,1.3,92.0,0.6,233,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1497225600000000000,192,23,1.3,92.0,0.6,209,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1499817600000000000,197,0,1.4,92.0,0.5,240,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1499817600000000000,217,1,1.5,92.0,0.4,227,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1499817600000000000,148,2,1.4,92.0,0.7,168,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1499817600000000000,101,3,1.9,91.0,1.4,218,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1499817600000000000,61,4,1.6,92.0,0.7,119,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1499817600000000000,82,5,1.5,92.0,1.1,175,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1499817600000000000,136,6,1.0,93.0,0.5,148,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1499817600000000000,366,7,0.3,93.0,0.5,173,-0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1499817600000000000,745,8,-0.2,96.0,0.8,173,-0.7,0.01,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1499817600000000000,414,9,0.1,91.0,0.8,265,-1.1,0.14,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1499817600000000000,320,10,1.1,83.0,0.7,311,-1.4,0.41,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1499817600000000000,332,11,2.3,69.0,1.7,628,-2.8,0.63,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1499817600000000000,430,12,3.7,65.0,2.4,833,-2.2,0.98,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1499817600000000000,393,13,4.1,37.0,3.1,1767,-9.3,1.14,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1499817600000000000,389,14,4.4,36.0,2.7,1975,-9.4,1.04,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1499817600000000000,429,15,4.0,35.0,3.1,1962,-10.1,0.84,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1499817600000000000,470,16,3.2,38.0,2.9,1817,-9.7,0.51,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1499817600000000000,549,17,2.1,50.0,2.0,1434,-7.2,0.15,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1499817600000000000,785,18,0.7,46.0,2.7,1558,-9.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1499817600000000000,505,19,-0.4,47.0,2.5,1269,-10.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1499817600000000000,389,20,-1.4,47.0,2.5,1620,-11.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1499817600000000000,401,21,-2.2,46.0,2.2,1975,-12.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1499817600000000000,388,22,-2.7,48.0,2.6,1844,-12.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1499817600000000000,258,23,-3.2,50.0,2.1,1887,-12.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1502496000000000000,232,0,-3.5,49.0,2.6,1893,-12.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1502496000000000000,229,1,-3.7,50.0,2.5,1902,-12.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1502496000000000000,130,2,-4.3,53.0,1.0,1918,-12.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1502496000000000000,98,3,-4.8,52.0,1.6,1978,-13.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1502496000000000000,70,4,-5.3,53.0,2.4,1936,-13.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1502496000000000000,83,5,-5.8,56.0,2.0,1941,-13.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1502496000000000000,157,6,-6.0,56.0,3.5,1853,-13.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1502496000000000000,386,7,-6.5,57.0,0.8,1776,-13.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1502496000000000000,770,8,-7.0,59.0,0.8,1559,-13.6,0.01,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1502496000000000000,394,9,-6.7,50.0,0.9,1492,-15.4,0.23,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1502496000000000000,260,10,-5.3,44.0,2.8,1516,-15.6,0.63,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1502496000000000000,309,11,-3.7,39.0,1.4,1595,-15.6,0.93,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1502496000000000000,354,12,-2.0,30.0,1.4,1728,-17.3,1.14,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1502496000000000000,353,13,-1.7,28.0,1.8,1963,-17.8,1.22,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1502496000000000000,349,14,-1.3,27.0,3.1,1906,-17.9,1.12,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1502496000000000000,361,15,-0.8,26.0,3.3,1977,-17.9,0.87,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1502496000000000000,400,16,-1.1,24.0,3.4,2000,-19.1,0.56,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1502496000000000000,498,17,-2.4,30.0,2.7,2000,-17.6,0.18,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1502496000000000000,743,18,-3.1,33.0,1.2,2000,-17.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1502496000000000000,475,19,-3.3,35.0,1.1,2000,-16.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1502496000000000000,383,20,-3.3,34.0,1.5,2000,-16.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1502496000000000000,335,21,-3.3,35.0,0.5,2000,-16.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1502496000000000000,346,22,-3.4,39.0,1.2,2000,-15.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1502496000000000000,274,23,-3.5,43.0,0.9,2000,-14.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1505174400000000000,266,0,-3.5,48.0,0.9,1967,-12.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1505174400000000000,295,1,-4.1,49.0,0.6,2000,-13.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
1505174400000000000,236,2,-4.7,50.0,0.7,1983,-13.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No Holiday
